State,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Alabama,4787220,5366840,5400419,5468301,5056073,5300199,5288208,5320340,5463966,5464382
Alaska,785825,800433,815122,794614,804505,803684,795275,792826,686142,679125
Arizona,5381050,5588010,5630647,5786891,5964434,5806313,5982559,6053781,6064542,6090179
Arkansas,2417960,2778660,2772214,2808138,2833697,2817145,2902111,2913369,3555142,3569698
California,28074980,28686650,29424012,30221033,30795141,31022328,31247270,30398249,31349073,31119113
Colorado,4683410,4820620,5005172,5116341,5259960,5356018,5412404,5350708,5096394,5116858
Connecticut,2855540,2866460,2841764,2841842,2826350,2879802,2878548,2867554,2756485,2789423
Delaware,947442,957669,964316,1003840,970733,1008468,1016927,1006135,472175,467268
District of Columbia,332773,334331,322929,337100,346016,351933,350463,356537,363287,380801
Florida,15131740,15504810,16105008,16600317,16959269,17496002,17833720,18464506,19180165,19663462
Georgia,7780350,8155110,8137621,8239779,8442325,8512550,8594567,8829596,9142656,9153627
Hawaii,1334690,1393260,1242319,1231728,1259541,1267385,1272361,1256140,1246765,1243333
Idaho,1692460,1762690,1854019,1842245,1835903,1879670,1954528,1917677,1976199,2031331
Illinois,10193440,10393500,10595254,10277182,10890760,10588910,10691947,10587725,11003729,10334435
Indiana,5574030,6012600,6045114,6140530,6170034,6190736,6223460,6199901,6241291,6256478
Iowa,3540760,3596530,3636898,3676290,3750077,3691892,3786328,3787224,3839312,3779422
Kansas,2627850,2542680,2634856,2649736,2717873,2684010,2682337,2603543,2606313,2588185
Kentucky,4031750,4148720,4151982,4224788,4293205,4368285,4383223,4459685,4408730,4291816
Louisiana,3957170,3886930,3901432,3904962,3906812,3885119,3802746,3861204,3862490,4593542
Maine,1199130,1194660,1104001,1107674,1094388,1125588,1130056,1121106,1387656,1294286
Maryland,3833530,4052090,4135158,4178873,4357598,4204846,4203994,4211377,4910674,4919054
Massachusetts,4985450,4994440,5069601,5069559,5065221,5061499,5061260,5036686,5207052,5184450
Michigan,8192370,8126340,8294108,8332895,8518097,8386831,8440065,8453239,9556452,9403708
Minnesota,5219490,5223190,5281269,5358317,5682653,5404277,5425885,5690749,5511960,5673333
Mississippi,2073540,2067810,2068853,2067222,2057476,2067498,2066681,2058975,2385768,2298929
Missouri,5820660,5332900,5624005,5684525,5568736,5498675,5534289,5587022,5603939,5373722
Montana,1539930,1585830,1645227,1794732,1863918,1845338,1900806,1952553,2140014,2249485
Nebraska,1891250,1947630,1981296,1951766,1965105,1961309,1968479,1935357,1933528,1967125
Nevada,2203100,2240500,2316056,2398659,2455442,2514338,2546583,2549357,2676143,2672391
New Hampshire,1408940,1310190,1296137,1322682,1319117,1346318,1363379,1357535,1417949,1437151
New Jersey,7061340,6874100,5938585,5940997,6057711,6055389,6033015,6006247,6249905,5999667
New Mexico,1882470,1930710,1823445,1823961,1740002,1824217,1825421,1783151,1862673,1870380
New York,10674140,10903620,10638765,11122392,10857455,11482229,11389158,11324755,9408796,9111362
North Carolina,7813850,7876030,7928973,8270643,8070717,8210213,8527388,8739280,8707506,8995906
North Dakota,845109,870731,890803,894954,1056758,899953,903668,899083,925186,1093509
Ohio,10360370,10453360,10557323,10686057,10809247,10913773,10901279,10592317,10892377,11028755
Oklahoma,3460010,3517810,2988512,3737405,3744178,3699022,3706624,3730247,3353167,3345331
Oregon,3603830,3417960,3607482,3811706,4103451,3942875,3919157,4095442,4010635,4139333
Pennsylvania,10461110,10504760,10598694,10748822,10689206,10727715,10800315,10690187,10927881,10868829
Rhode Island,853152,864762,875097,876228,872814,872344,868942,866625,801654,806142
South Carolina,3986570,4017610,4162651,4324423,4404100,4457519,4516143,4561299,5091679,5245829
South Dakota,1015170,1032710,1082289,1246359,1258356,1269415,1280969,1294282,1433044,1364513
Tennessee,5451930,5495650,5612123,5709923,5800489,5770874,5817887,5855373,6712722,6828011
Texas,20171140,20877030,21864841,21766166,22130765,22186241,23007146,22419490,23012990,23291638
Utah,2060510,2150570,2229193,2317282,2355773,2372800,2430275,2479604,2838505,2876800
Vermont,611789,612437,655347,615950,621608,619694,620428,607890,614340,625664
Virginia,7051020,7160100,7238905,7301081,7514484,7604646,7647692,7606452,7652036,7763287
Washington,6392840,6405480,6725467,7047689,7256196,7152413,7377028,7257401,7966147,7835063
West Virginia,1453400,1553190,1613345,1704825,1691237,1693719,1668113,1657362,1219024,1652896
Wisconsin,5338760,5340160,5466581,5564429,5596635,5683061,5666400,5616271,5769058,5681673
Wyoming,830539,820107,814989,855230,819257,837024,843671,861028,870969,890285
