State,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Alabama,0.18,0.18,0.18,0.18,0.18,0.18,0.26,0.26,0.26,0.3
Alaska,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
Arizona,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Arkansas,0.215,0.215,0.215,0.215,0.215,0.215,0.248,0.248,0.248,0.246
California,0.4,0.4,0.3,0.3,0.42,0.42,0.47,0.51,0.51,0.54
Colorado,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.24,0.24
Connecticut,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
Delaware,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23
District of Columbia,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24
Florida,0.17,0.17,0.17,0.17,0.17,0.28,0.37,0.38,0.38,0.39
Georgia,0.08,0.08,0.26,0.26,0.26,0.27,0.28,0.28,0.29,0.29
Hawaii,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16
Idaho,0.25,0.25,0.32,0.33,0.33,0.33,0.33,0.33,0.33,0.33
Illinois,0.19,0.19,0.19,0.19,0.19,0.19,0.39,0.4,0.4,0.4
Indiana,0.18,0.18,0.18,0.18,0.29,0.3,0.31,0.32,0.33,0.34
Iowa,0.21,0.21,0.308,0.317,0.315,0.317,0.315,0.31,0.31,0.31
Kansas,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24
Kentucky,0.31,0.31,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
Louisiana,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Maine,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Maryland,0.24,0.24,0.32,0.34,0.34,0.35,0.37,0.36,0.36,0.43
Massachusetts,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24
Michigan,0.19,0.19,0.19,0.19,0.26,0.26,0.26,0.26,0.26,0.27
Minnesota,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.285
Mississippi,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Missouri,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.2,0.22
Montana,0.28,0.28,0.28,0.28,0.32,0.32,0.33,0.33,0.33,0.33
Nebraska,0.263,0.263,0.261,0.267,0.279,0.289,0.306,0.341,0.286,0.257
Nevada,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24
New Hampshire,0.2,0.2,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24
New Jersey,0.11,0.11,0.11,0.38,0.37,0.37,0.37,0.37,0.37,0.37
New Mexico,0.189,0.189,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17
New York,0.27,0.27,0.26,0.25,0.24,0.25,0.26,0.25,0.25,0.25
North Carolina,0.38,0.38,0.36,0.34,0.35,0.35,0.36,0.36,0.36,0.39
North Dakota,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23
Ohio,0.28,0.28,0.28,0.28,0.28,0.28,0.39,0.39,0.39,0.39
Oklahoma,0.17,0.17,0.17,0.17,0.17,0.2,0.2,0.2,0.2,0.2
Oregon,0.3,0.3,0.3,0.3,0.3,0.34,0.34,0.36,0.36,0.38
Pennsylvania,0.31,0.31,0.51,0.5,0.58,0.58,0.58,0.58,0.58,0.58
Rhode Island,0.32,0.32,0.33,0.33,0.33,0.34,0.35,0.35,0.35,0.35
South Carolina,0.16,0.16,0.16,0.16,0.18,0.2,0.22,0.24,0.26,0.28
South Dakota,0.28,0.28,0.28,0.28,0.3,0.3,0.3,0.3,0.3,0.3
Tennessee,0.2,0.2,0.2,0.2,0.24,0.25,0.26,0.26,0.26,0.26
Texas,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Utah,0.25,0.25,0.25,0.29,0.29,0.29,0.3,0.3,0,0
Vermont,0.19,0.19,0.19,0.31,0.31,0.3,0.3,0.3,0.3,0.3
Virginia,0.11,0.11,0.16,0.16,0.16,0.16,0.16,0.16,0.26,0.28
Washington,0.375,0.375,0.445,0.494,0.494,0.494,0.494,0.494,0.494,0.494
West Virginia,0.347,0.347,0.346,0.332,0.357,0.357,0.357,0.357,0.357,0.357
Wisconsin,0.309,0.309,0.309,0.309,0.309,0.309,0.309,0.309,0.309,0.309
Wyoming,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24
