State,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Alabama,35706,36722,38189,38704,39968,41324,42998,45843,50495,51660
Alaska,52252,55098,56714,55536,56500,58997,60504,61853,65608,68905
Arizona,36918,38268,39888,41173,43255,45297,47718,52038,56963,58873
Arkansas,36286,38220,39267,40181,41403,43031,43737,47100,52872,55299
California,48074,50617,53816,55862,58214,60984,64219,70065,76887,76741
Colorado,47088,50251,51401,51312,54176,57798,61278,64671,71676,76544
Connecticut,62000,64484,66222,67551,69147,72159,74176,76779,81692,84777
Delaware,43943,45359,47238,48186,49997,52670,53778,55497,59619,63890
District of Columbia,67081,70527,74784,77500,79567,82272,83675,90691,97764,100153
Florida,40743,42877,44957,45730,48447,51015,53666,56539,62238,64171
Georgia,37484,39550,41527,42742,44836,46624,48529,51460,56079,57193
Hawaii,43548,45445,47150,48561,50506,51554,53940,56995,61051,62522
Idaho,35699,37107,38813,39653,41197,43254,45880,49607,55408,56984
Illinois,46735,48536,50688,51347,53056,56077,57738,61542,66612,68352
Indiana,39435,40719,42146,43143,44568,46555,48270,51736,57254,58867
Iowa,43009,44120,45442,45669,46767,48773,49674,52621,58195,61515
Kansas,45669,46289,46597,46717,48271,50282,52156,55100,59013,62313
Kentucky,35758,37225,38766,39319,40403,41658,43466,47052,51769,52615
Louisiana,40996,42533,42484,42132,43486,45465,47015,50133,54948,55661
Maine,39950,41137,42939,44234,45905,47729,49983,54295,59168,61620
Maryland,51871,53075,55032,56606,58245,59915,61723,64840,69032,71013
Massachusetts,56119,58129,61536,63476,66069,69191,72381,77470,83703,85712
Michigan,39292,40829,42982,44080,45264,47089,48577,52787,56898,57907
Minnesota,47413,49357,51353,51982,53826,56201,57903,61327,67452,69813
Mississippi,33976,34623,35100,35638,36579,37624,39142,42446,46906,47086
Missouri,40121,41380,42677,43826,44781,46680,48425,52143,56630,58986
Montana,40142,41850,43095,43301,45369,47208,49654,53487,58973,61610
Nebraska,45911,48187,49708,48688,49533,51436,53513,56745,63517,66923
Nevada,39331,41126,43799,44715,46991,49289,51942,54656,60775,62493
New Hampshire,50423,51988,54161,55677,57878,60335,63946,67535,73672,74952
New Jersey,54365,56367,58408,59776,61704,64198,67518,70430,76040,77456
New Mexico,34857,36880,37752,38474,39196,40976,43223,46483,50682,53069
New York,52874,54496,56608,58400,62206,64229,66460,70395,76040,77382
North Carolina,38074,39880,41632,42596,44219,46048,48374,51779,57023,58871
North Dakota,54337,56647,52972,51298,51830,55173,56657,60368,65975,71042
Ohio,40752,42277,43799,44574,46114,47821,49395,52839,57330,58301
Oklahoma,43607,45884,44279,42053,43873,46030,48177,50020,54492,57943
Oregon,39462,41654,44166,45467,47566,50209,52190,56594,62379,63986
Pennsylvania,45902,47467,49291,50572,51886,54468,56139,60245,63779,65336
Rhode Island,45104,46630,48049,48515,50414,52132,55123,59250,62898,64075
South Carolina,35923,37755,39598,40752,42385,43817,46150,48769,53220,54378
South Dakota,44988,46732,48308,48284,49408,51579,54408,59422,67014,69736
Tennessee,39099,40225,41937,42938,44407,46449,48903,51945,57491,59099
Texas,44403,46747,46767,45868,48524,51346,53271,54795,60192,62812
Utah,36102,37621,39881,41295,43030,45463,48163,51741,58183,60607
Vermont,45296,46894,48117,48827,50009,51691,54278,58131,60807,63523
Virginia,48195,49760,51617,52656,54377,56130,58362,61400,66971,69673
Washington,47448,50259,52408,54296,56800,59824,63431,67619,73628,75580
West Virginia,35093,36243,37068,37075,38841,41001,42615,44867,48792,50131
Wisconsin,42685,44156,45928,46595,48311,50520,52370,55428,60449,61851
Wyoming,52835,56251,56120,53419,56378,59197,61853,65094,70962,76394
